模型顶层信息：
1. name: lte
2. args: {'encoder_spec': {'name': 'pan', 'args': {'no_upsampling': True}}, 'imnet_spec': {'name': 'mlp', 'args': {'out_dim': 3, 'hidden_list': [256, 256, 256, 256]}}, 'hidden_dim': 256}...

实际权重键名（共3821个）：
  1. 键名：encoder.sub_mean.weight                            | 形状：(3, 3, 1, 1) | 类型：torch.float32
  2. 键名：encoder.sub_mean.bias                              | 形状：(3,) | 类型：torch.float32
  3. 键名：encoder.add_mean.weight                            | 形状：(3, 3, 1, 1) | 类型：torch.float32
  4. 键名：encoder.add_mean.bias                              | 形状：(3,) | 类型：torch.float32
  5. 键名：encoder.conv_first.weight                          | 形状：(64, 3, 3, 3) | 类型：torch.float32
  6. 键名：encoder.conv_first.bias                            | 形状：(64,) | 类型：torch.float32
  7. 键名：encoder.SCPA_trunk_1.0.conv1.bam.ca.ca.fc0.weight  | 形状：(4, 64) | 类型：torch.float32
  8. 键名：encoder.SCPA_trunk_1.0.conv1.bam.ca.ca.fc0.bias    | 形状：(4,) | 类型：torch.float32
  9. 键名：encoder.SCPA_trunk_1.0.conv1.bam.ca.ca.bn0.weight  | 形状：(4,) | 类型：torch.float32
 10. 键名：encoder.SCPA_trunk_1.0.conv1.bam.ca.ca.bn0.bias    | 形状：(4,) | 类型：torch.float32
 11. 键名：encoder.SCPA_trunk_1.0.conv1.bam.ca.ca.bn0.running_mean | 形状：(4,) | 类型：torch.float32
 12. 键名：encoder.SCPA_trunk_1.0.conv1.bam.ca.ca.bn0.running_var | 形状：(4,) | 类型：torch.float32
 13. 键名：encoder.SCPA_trunk_1.0.conv1.bam.ca.ca.bn0.num_batches_tracked | 形状：() | 类型：torch.int64
 14. 键名：encoder.SCPA_trunk_1.0.conv1.bam.ca.ca.fc1.weight  | 形状：(4, 4) | 类型：torch.float32
 15. 键名：encoder.SCPA_trunk_1.0.conv1.bam.ca.ca.fc1.bias    | 形状：(4,) | 类型：torch.float32
 16. 键名：encoder.SCPA_trunk_1.0.conv1.bam.ca.ca.bn1.weight  | 形状：(4,) | 类型：torch.float32
 17. 键名：encoder.SCPA_trunk_1.0.conv1.bam.ca.ca.bn1.bias    | 形状：(4,) | 类型：torch.float32
 18. 键名：encoder.SCPA_trunk_1.0.conv1.bam.ca.ca.bn1.running_mean | 形状：(4,) | 类型：torch.float32
 19. 键名：encoder.SCPA_trunk_1.0.conv1.bam.ca.ca.bn1.running_var | 形状：(4,) | 类型：torch.float32
 20. 键名：encoder.SCPA_trunk_1.0.conv1.bam.ca.ca.bn1.num_batches_tracked | 形状：() | 类型：torch.int64
 21. 键名：encoder.SCPA_trunk_1.0.conv1.bam.ca.ca.fc2.weight  | 形状：(4, 4) | 类型：torch.float32
 22. 键名：encoder.SCPA_trunk_1.0.conv1.bam.ca.ca.fc2.bias    | 形状：(4,) | 类型：torch.float32
 23. 键名：encoder.SCPA_trunk_1.0.conv1.bam.ca.ca.bn2.weight  | 形状：(4,) | 类型：torch.float32
 24. 键名：encoder.SCPA_trunk_1.0.conv1.bam.ca.ca.bn2.bias    | 形状：(4,) | 类型：torch.float32
 25. 键名：encoder.SCPA_trunk_1.0.conv1.bam.ca.ca.bn2.running_mean | 形状：(4,) | 类型：torch.float32
 26. 键名：encoder.SCPA_trunk_1.0.conv1.bam.ca.ca.bn2.running_var | 形状：(4,) | 类型：torch.float32
 27. 键名：encoder.SCPA_trunk_1.0.conv1.bam.ca.ca.bn2.num_batches_tracked | 形状：() | 类型：torch.int64
 28. 键名：encoder.SCPA_trunk_1.0.conv1.bam.ca.ca.last_fc.weight | 形状：(64, 4) | 类型：torch.float32
 29. 键名：encoder.SCPA_trunk_1.0.conv1.bam.ca.ca.last_fc.bias | 形状：(64,) | 类型：torch.float32
 30. 键名：encoder.SCPA_trunk_1.0.conv1.bam.sa.sa.conv_reduce1.weight | 形状：(4, 64, 1, 1) | 类型：torch.float32
